Subject	Site	Gender	Group	Age	Date	Trial	Type	Grid	2ndtask_initial	2ndtask_end	NrUntilfindGrid	choice P2	corr P2	choice01	choice01_x	choice01_y	food_x	food_y	distance_c01	choice1_correct	choice02	choice03	choice04	choice05	choice06	choice07	choice08	choice09	choice10	choice11	choice12	choice13	choice14	choice15	choice16	choice17	choice18	choice19	choice20	choice21	choice22	choice23	choice24	choice25	choice26	choice27	choice28	choice29	choice30	choice31	choice32	choice33	choice34	choice35	choice36	choice37	choice38	choice39	choice40	choice41	choice42	choice43	choice44	choice45	choice46	choice47	choice48	choice49	choice50	choice51	choice52	choice53	choice54	choice55	choice56	choice57	choice58	choice59	choice60
Bili	uganda	f	Uganda	21	05/12/2019	7	test	5	1	2	4	2	1	10	2	3	1	2	1.414213562																																																												
Bili	uganda	f	Uganda	21	05/12/2019	8	test	3	3	2	3	2	1	11	3	3	3	1	2																																																												
Bili	uganda	f	Uganda	21	05/12/2019	9	test	14	1	3	8	3	1	8	4	2	2	4	2.828427125																																																												
Bili	uganda	f	Uganda	21	05/12/2019	10	test	8	2	1	1	1	1	8	4	2	4	2	0																																																												
Bili	uganda	f	Uganda	21	05/12/2019	11	test	7	3	1	4	1	1	8	4	2	3	2	1																																																												
Bili	uganda	f	Uganda	21	05/12/2019	12	test	15	2	3	8	3	1	12	4	3	3	4	1.414213562																																																												
Bwambale	uganda	m	Uganda	19	03/12/2019	1	warm-up	8			1			8	4	2	4	2	0																																																												
Bwambale	uganda	m	Uganda	19	03/12/2019	2	warm-up	3			6			8	4	2	3	1	1.414213562																																																												
Bwambale	uganda	m	Uganda	19	03/12/2019	1	test	9	1	2	3	2	1	9	1	3	1	3	0																																																												
Bwambale	uganda	m	Uganda	19	03/12/2019	2	test	6	3	1	39	1	1	10	2	3	2	2	1																																																												
Bwambale	uganda	m	Uganda	19	03/12/2019	3	test	10	2	3	1	3	1	10	2	3	2	3	0																																																												
Bwambale	uganda	m	Uganda	19	03/12/2019	4	test	12	3	2	30	3	0	11	3	3	4	3	1																																																												
Bwambale	uganda	m	Uganda	19	03/12/2019	5	test	2	2	1	17	1	1	7	3	2	2	1	1.414213562																																																												
Bwambale	uganda	m	Uganda	19	03/12/2019	6	test	11	1	3	3	1	0	10	2	3	3	3	1																																																												
Bwambale	uganda	m	Uganda	19	03/12/2019	7	test	5	1	2	15	2	1	10	2	3	1	2	1.414213562																																																												
Bwambale	uganda	m	Uganda	19	03/12/2019	8	test	3	3	2	6	2	1	7	3	2	3	1	1																																																												
Bwambale	uganda	m	Uganda	19	03/12/2019	9	test	14	1	3	15	1	0	10	2	3	2	4	1																																																												
Bwambale	uganda	m	Uganda	19	03/12/2019	10	test	8	2	1	2	1	1	7	3	2	4	2	1																																																												
Bwambale	uganda	m	Uganda	19	03/12/2019	11	test	7	3	1	2	3	0	8	4	2	3	2	1																																																												
Bwambale	uganda	m	Uganda	19	03/12/2019	12	test	15	2	3	28	2	0	12	4	3	3	4	1.414213562																																																												
Mawa	uganda	m	Uganda	23	05/12/2019	1	warm-up	8			3			16	4	4	4	2	2																																																												
Mawa	uganda	m	Uganda	23	05/12/2019	2	warm-up	3			3			8	4	2	3	1	1.414213562																																																												
Mawa	uganda	m	Uganda	23	05/12/2019	1	test	9	1	2	1	2	1	9	1	3	1	3	0																																																												
Mawa	uganda	m	Uganda	23	05/12/2019	2	test	6	3	1	3	1	1	9	1	3	2	2	1.414213562																																																												
Mawa	uganda	m	Uganda	23	05/12/2019	3	test	10	2	3	4	1	0	9	1	3	2	3	1																																																												
Mawa	uganda	m	Uganda	23	05/12/2019	4	test	12	3	2	1	1	0	12	4	3	4	3	0																																																												
Mawa	uganda	m	Uganda	23	05/12/2019	5	test	2	2	1	6	2	0	10	2	3	2	1	2																																																												
Mawa	uganda	m	Uganda	23	05/12/2019	6	test	11	1	3	12	1	0	10	2	3	3	3	1																																																												
Mawa	uganda	m	Uganda	23	05/12/2019	7	test	5	1	2	2	2	1	9	1	3	1	2	1																																																												
Mawa	uganda	m	Uganda	23	05/12/2019	8	test	3	3	2	3	2	1	6	2	2	3	1	1.414213562																																																												
Mawa	uganda	m	Uganda	23	05/12/2019	9	test	14	1	3	15	3	1	9	1	3	2	4	1.414213562																																																												
Mawa	uganda	m	Uganda	23	05/12/2019	10	test	8	2	1	12	3	0	13	1	4	4	2	3.605551275																																																												
Mawa	uganda	m	Uganda	23	05/12/2019	11	test	7	3	1	7	1	1	10	2	3	3	2	1.414213562																																																												
Mawa	uganda	m	Uganda	23	05/12/2019	12	test	15	2	3	6	2	0	7	3	2	3	4	2																																																												
